# de Alcobas,# de Baños Completos,# de Niveles ,Administración $,Area Terraza en M2,Año de construcción,Cantidad de Parqueaderos,Estrato,Latitud,Longitud,M2 Area Construida,Piso #,Precio,Predial $,AnoDeExtraccion,MesDeExtraccion
2.0,2.0,1.0,207000.0,0.0,2016.0,1.0,3.0,4.7459912000000015,-74.05761419999997,57.1,10.0,260000000.0,762000.0,2020,5
3.0,2.0,1.0,230126.0,0.0,2016.0,1.0,3.0,4.746233999999999,-74.02515389999995,86.0,15.0,378000000.0,1017000.0,2020,5
2.0,3.0,1.0,840000.0,0.0,1991.0,2.0,6.0,4.663799786334346,-74.05042704942275,141.0,2.0,910000000.0,6241000.0,2020,5
3.0,3.0,1.0,360000.0,0.0,1991.0,2.0,4.0,4.729218814155777,-74.03637889931474,92.0,4.0,370000000.0,1600000.0,2020,5
3.0,2.0,1.0,202000.0,0.0,2012.0,1.0,4.0,4.754220948104551,-74.02341534153754,67.91,4.0,240000000.0,936000.0,2020,5
3.0,3.0,1.0,510000.0,0.0,1997.0,2.0,5.0,4.7249002,-74.06300569999995,125.96,2.0,489000000.0,2288000.0,2020,5
1.0,1.0,1.0,235000.0,0.0,2019.0,1.0,4.0,4.680098916777795,-74.06203284603271,53.53,9.0,395000000.0,,2020,5
3.0,2.0,1.0,235000.0,0.0,2018.0,1.0,4.0,4.7443480000000005,-74.03275710000003,92.0,5.0,380000000.0,1390000.0,2020,5
3.0,2.0,1.0,125000.0,0.0,2017.0,1.0,3.0,4.5861160000000005,-74.16100260000002,62.33,29.0,165000000.0,288000.0,2020,5
2.0,2.0,1.0,104255.0,0.0,2018.0,1.0,3.0,4.755033999999998,-74.09067700000003,53.11,14.0,225000000.0,279000.0,2020,5
3.0,2.0,1.0,125000.0,0.0,2015.0,1.0,3.0,4.5861160000000005,-74.16100260000002,62.33,20.0,140000000.0,288000.0,2020,5
2.0,4.0,1.0,770502.0,0.0,2018.0,1.0,6.0,11.035553688463157,-74.91781016362431,118.0,5.0,520000000.0,,2020,5
