Administracion,Area,Banos,Barrio,Ciudad,Estrato,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
,56.0,2.0,Conquistadores,Medellín,4.0,2022-09-17,1.0,6.239542007446289,-75.5843505859375,0.0,192000000.0,Images/fincaraiz_6020982.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/conquistadores/medellin/6020982
,68.0,2.0,VIA MACHADO,Copacabana,4.0,2022-09-17,3.0,6.352781772613525,-75.49220275878906,1.0,280000000.0,Images/fincaraiz_6025945.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/via-machado/copacabana/6025945
482600.0,142.0,4.0,La Abadía,Envigado,5.0,2022-10-16,3.0,6.176610469818115,-75.57613372802734,2.0,620000000.0,Images/fincaraiz_6032122.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/la-abadia/envigado/6032122
518000.0,139.0,5.0,Loma Las Brujas,Envigado,5.0,2022-09-17,3.0,6.162680149078369,-75.57943725585938,2.0,850000000.0,Images/fincaraiz_6034197.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/loma-las-brujas/envigado/6034197
,76.0,2.0,suramerica,La Estrella,3.0,2022-09-17,3.0,6.169384479522705,-75.62725067138672,1.0,325000000.0,Images/fincaraiz_6042093.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/suramerica/la-estrella/6042093
320000.0,110.0,3.0,Loma las Brujas,Envigado,5.0,2022-09-17,3.0,6.159839153289795,-75.57579040527344,2.0,630000000.0,Images/fincaraiz_6046784.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/loma-las-brujas/envigado/6046784
,130.0,3.0,Transversal intermedia,Envigado,5.0,2022-11-12,3.0,6.168756008148193,-75.58301544189453,2.0,650000000.0,Images/fincaraiz_6065220.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/transversal-intermedia/envigado/6065220
,130.0,2.0,Robledo,Medellín,3.0,2022-09-17,3.0,6.297718048095703,-75.5843505859375,1.0,220000000.0,Images/fincaraiz_6075796.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/robledo/medellin/6075796
280000.0,80.0,2.0,LA FRONTERA,Envigado,6.0,2022-09-17,3.0,6.18267822265625,-75.57552337646484,1.0,330000000.0,Images/fincaraiz_6085345.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/la-frontera/envigado/6085345
250000.0,146.0,3.0,Calasanz,Medellín,5.0,2022-10-02,4.0,6.2645792961120605,-75.59954071044922,1.0,495000000.0,Images/fincaraiz_6087303.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/calasanz/medellin/6087303
133000.0,52.0,2.0,Rodeo Alto,Medellín,3.0,2022-09-17,3.0,6.20088529586792,-75.59031677246094,1.0,190000000.0,Images/fincaraiz_6089344.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/rodeo-alto/medellin/6089344
1160000.0,370.0,6.0,El Poblado,Medellín,6.0,2022-09-17,4.0,6.191542148590088,-75.57276153564453,2.0,1400000000.0,Images/fincaraiz_6095619.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/6095619
,81.0,2.0,La América,Medellín,4.0,2022-09-17,3.0,6.2513813972473145,-75.60821533203125,0.0,255000000.0,Images/fincaraiz_6095800.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/la-america/medellin/6095800
