Administracion,Area,Banos,Barrio,Ciudad,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
528000.0,155.0,4.0,Las Orquídeas,Envigado,2022-08-28,4.0,6.179901,-75.579592,2.0,600000000.0,Images/223371.jpeg,https://www.redinmobiliariamls.com/envigado/las-orquideas/1/223371
513000.0,132.83,2.0,Castropol,Medellín,2022-08-28,3.0,6.216733,-75.566696,2.0,545000000.0,Images/223372.jpeg,https://www.redinmobiliariamls.com/medellin/castropol/1/223372
980000.0,436.0,4.0,Oviedo,Medellín,2022-08-28,4.0,6.202,-75.57436,4.0,1560000000.0,Images/223403.jpeg,https://www.redinmobiliariamls.com/medellin/oviedo/1/223403
,62.0,2.0,Loma Linda,Itagüí,2022-08-28,2.0,6.167999,-75.603746,1.0,295500000.0,Images/223601.jpeg,https://www.redinmobiliariamls.com/itagi/loma-linda/1/223601
120000.0,60.0,2.0,Las Lomitas,Sabaneta,2022-08-28,2.0,6.256602,-75.575637,1.0,300000000.0,Images/223635.jpeg,https://www.redinmobiliariamls.com/sabaneta/las-lomitas/1/223635
110000.0,50.0,2.0,V. La Bermejala,La Estrella,2022-08-28,2.0,6.132783,-75.635087,1.0,225000000.0,Images/223652.jpeg,https://www.redinmobiliariamls.com/la-estrella/v-la-bermejala/1/223652
320000.0,88.06,2.0,El Esmeraldal,Envigado,2022-08-09,2.0,6.17283,-75.568492,2.0,560000000.0,Images/223661.jpeg,https://www.redinmobiliariamls.com/envigado/el-esmeraldal/1/223661
173000.0,66.5,2.0,V. Belen,Marinilla,2022-08-09,2.0,6.256602,-75.575637,1.0,315000000.0,Images/223722.jpeg,https://www.redinmobiliariamls.com/marinilla/v-belen/1/223722
,198.0,4.0,Santa Maria de los Angeles,Medellín,2022-08-28,3.0,6.256602,-75.575637,3.0,1500000000.0,Images/223737.jpeg,https://www.redinmobiliariamls.com/medellin/santa-maria-de-los-angeles/1/223737
1800000.0,431.0,3.0,El Campestre,Medellín,2022-08-28,3.0,6.256602,-75.575637,4.0,1800000000.0,Images/223819.jpeg,https://www.redinmobiliariamls.com/medellin/el-campestre/1/223819
450000.0,119.5,4.0,Loma de Los Bernal,Medellín,2022-08-28,2.0,6.217822,-75.60409,2.0,445000000.0,Images/223914.jpeg,https://www.redinmobiliariamls.com/medellin/loma-de-los-bernal/1/223914
450000.0,158.74,2.0,Bosques de Zuñiga,Envigado,2022-08-28,3.0,6.256602,-75.575637,2.0,620000000.0,Images/223922.jpeg,https://www.redinmobiliariamls.com/envigado/bosques-de-zuniga/1/223922
430000.0,108.0,2.0,Laureles,Medellín,2022-08-28,3.0,6.256602,-75.575637,1.0,520000000.0,Images/223931.jpeg,https://www.redinmobiliariamls.com/medellin/laureles/1/223931
252000.0,79.65,2.0,Las Palmas,Medellín,2022-08-09,2.0,6.2282,-75.566416,0.0,350000000.0,Images/223935.jpeg,https://www.redinmobiliariamls.com/medellin/las-palmas/1/223935
1317100.0,330.0,3.0,Los Balsos Nº 1,Medellín,2022-08-28,3.0,6.19489,-75.574313,2.0,2220000000.0,Images/223937.jpeg,https://www.redinmobiliariamls.com/medellin/los-balsos-n-1/1/223937
929000.0,250.0,3.0,Lalinde,Medellín,2022-08-28,3.0,6.212863,-75.567777,2.0,2800000000.0,Images/223939.jpeg,https://www.redinmobiliariamls.com/medellin/lalinde/1/223939
200000.0,63.0,2.0,La Cuenca,Envigado,2022-08-28,3.0,6.256602,-75.575637,1.0,360000000.0,Images/224032.jpeg,https://www.redinmobiliariamls.com/envigado/la-cuenca/1/224032
